booking_id,customer_id,customer_name,customer_segment,customer_signup_date,customer_home_city,customer_loyalty_tier,property_id,property_name,property_city,property_star_rating,property_type,property_total_rooms,booking_date,checkin_date,checkout_date,room_type,num_rooms,nights,booking_channel,adr,discount_amount,coupon_code,total_amount,payment_method,booking_status,review_rating,review_date
100000,1,Customer_1,Group,2023-12-26,Goa,Silver,9,Maple Stay,Chennai,4,Budget,60,2024-03-11,2024-03-26,2024-03-31,Suite,2,5,OTA,4877.54,0.0,,48775.4,Debit Card,Cancelled,,
100001,1,Customer_1,Group,2023-12-26,Goa,Silver,5,Hilltop Inn,Jaipur,4,Budget,120,2024-09-17,2024-10-27,2024-10-31,Standard,2,4,Corporate Portal,2206.55,1727.18,APPDEAL,15925.22,Net Banking,Completed,4.0,2024-11-17
100002,1,Customer_1,Group,2023-12-26,Goa,Silver,18,Tusker Haven,Chennai,5,Mid-Range,80,2024-04-21,2024-05-06,2024-05-07,Deluxe,3,1,Travel Agent,5332.96,0.0,,15998.88,UPI,Completed,,
100003,1,Customer_1,Group,2023-12-26,Goa,Silver,44,Crimson Stay,Udaipur,4,Mid-Range,40,2024-08-23,2024-09-07,2024-09-10,Deluxe,2,3,Direct Website,7258.32,7971.26,FEST15,35578.66,UPI,Completed,,
100004,1,Customer_1,Group,2023-12-26,Goa,Silver,54,Azure Manor,Pune,3,Mid-Range,150,2024-07-21,2024-07-23,2024-07-26,Deluxe,4,3,Corporate Portal,6511.39,0.0,,78136.68,UPI,Completed,,
100005,2,Customer_2,Individual,2022-07-25,Kochi,Silver,17,Marigold Palace,Jaipur,4,Budget,60,2024-11-23,2024-12-18,2024-12-20,Standard,1,2,Direct Website,2125.6,519.07,FEST15,3732.13,Net Banking,Completed,,
100006,3,Customer_3,Corporate,2023-05-01,Pune,None,45,Velvet Heights,Jaipur,2,Budget,100,2024-02-20,2024-02-22,2024-02-26,Standard,2,4,Travel Agent,1876.44,932.3,FEST15,14079.22,Net Banking,Completed,,
100007,4,Customer_4,Individual,2023-02-25,Mumbai,Platinum,4,Sea Breeze Resort,Kochi,3,Budget,40,2024-03-02,2024-04-11,2024-04-14,Deluxe,1,3,Direct Website,2385.59,606.47,FEST15,6550.3,Debit Card,Completed,4.0,2024-04-30
100008,5,Customer_5,Corporate,2023-06-20,Mumbai,Silver,24,Tusker Palace,Goa,2,Mid-Range,100,2024-04-04,2024-04-19,2024-04-20,Suite,2,1,Corporate Portal,14375.43,3485.74,WELCOME,25265.12,Debit Card,Completed,,
100009,5,Customer_5,Corporate,2023-06-20,Mumbai,Silver,1,The Grand Plaza,Delhi,5,Budget,60,2024-09-14,2024-10-09,2024-10-10,Standard,1,1,Corporate Portal,3236.14,0.0,NONE,3236.14,Debit Card,Completed,,
